id	article_id	menu_id	question	answer	q_mbti	a_mbti
1	804077	11	궁금해요🤪🤪🤪🤪[SEP]	공방 가서 맞추는 건 싫고 금으로 맞추는 거 아님[SEP]싫어요 ㅎ[SEP]		istj
2	804070	11	사귄지 얼마 안됐고 썸탈때도 그냥 용건만 연락하는 편이길래 그러려니 했는데 막상 사귀고 일주일정도 지나니까 맨날 거의 형식적인 연락이 좀 그래서 일상공유좀 해줬으면 좋겠는데 그사람을 굳이 바뀌게 하고싶진 않은 생각도 들고 그사람한테 ~~해달라 말을 하는것도 스트레스인데 어떡하는게 좋을까요[SEP]	원하시는 일상공유가 어떤건지[SEP]궁금해요[SEP]		intp
4	804044	11	알려줘야 된다고 생각하세요?[SEP]아니면 굳이 필요없다고 생각하세요?[SEP]자잘한 일상 공유같은거요 이유도 설명해주세여[SEP]	저는 무조건 ..![SEP]말해야 된다고 생각해용[SEP]		enfp
5	804033	11	자기 애기 @@이 ㅇㅇ둥이 기타등등 (쓰면서 손발 오그라들어서 오타 500배 증가) 뭐 이런 오글거리기 짝이 없는 애칭 어떻게 부르셨는지 알려주세요[SEP]	자기 정도만 쓰는거 같아요.[SEP]애인을 지칭할때 '너'라고 하기에는 너무 정없어보여서 쓰기 시작했는데 한두번이 어려웠지 쓰다보니 어느순간 아무렇지 않더라구요ㅋㅋㅋ[SEP]	intj	istj
6	804012	11	나만 남자친구랑 데이트 생각 하는 거 같고 어찌나 서운하던지 근데 또 집에 가면 편해하고 너무 좋아하는 게 느껴지니까 편하기 쉴 생각하면 저도 그건 또 좋더라고요[SEP]표현방식도 다르고 연애 스타일도 달라서 그런지 남자친구는 해맑게 편하기만 한거 같구 저만 맘고생하는거 같구 그래요 ㅎㅎㅎ[SEP]남자친구가 예전같지 않은 마음인지 원래 연애 스타일이 그런건지 시간이 지나면 서로 맞춰져갈 부분인지 혼자 생각이 많아져서 답답한 마음에 얘기해봅니다 ㅎㅎ[SEP]	직장상사스타일이라고 생각하심되여ㅋ[SEP]제가 느끼기에는 f 부분이 넘적어요..[SEP]	infp	estp
9	803990	11	istj와 isfj는 알파벳 한 끗 차이인데 istj이시면서 t와 f가 거의 비슷한 퍼센티지로 나오시는 분들...[SEP]전형적인 잇티제와 어떤 점이 다를까요?[SEP]결이 좀 다른가요??[SEP]	저도 f/t 왔다갔다해서 궁금하네요.!![SEP]오지랖넓은 istj는 없겠죠..[SEP]	entp	istj
10	803965	11	잇티제분들 직장에서 수다떨기 좋아하시나요?[SEP]	상대가 누군지에 따라 다르겠죠??[SEP]	isfj	istj
11	803919	11	estj남 entj여 인 분들 연애 어떻게 하시고 계시나요?[SEP]사귄 지 얼마 안 됐는데 뭐를 중요하게 생각할지 어떻게 해야할 지 여쭤봅니다[SEP]	남친이 엣티제고 제가 엔티제입니당 ㅋㅋㅋ[SEP]300일넘게 사귀고 결혼준비중이에요[SEP]	entj	entj
12	803909	11	무슨 면접 보는 것 같았어요ㅋㅋㅋㅋㅋ(뭔가 원하는 배우자상에 맞는지 체크하는 느낌)[SEP]그 뒤로 선톡오며 썸 아닌 썸을 타게 됐는데 매일 카톡하는 사이입니다만 일상공유를 주로 하지 처음 만났을 때처럼 질문을 자주 하는 느낌이 아니에요 그러다보니 대화이어가려고 제가 질문을 던지고 있는데ㅡㅡ 슬슬 버겁네요..[SEP]istj분들 썸탈 때 원래 이렇게 질문이 확 줄어드나요??[SEP]	저도 잇티제님들 답변 궁금하네요[SEP]		infj
14	803898	11	뭔가 잘될 것 같긴 한데 또 길어지는 백수생활 합리화도 하고요...ㅎㅎ[SEP]... 지금까지 쌓아 놓은 커리어가 있으니까 이것보다 낮춰서 가진 않으려고 기간이 길어진 것이다 하며....[SEP]엣티제 백수 분들 어떻게 지내세요?[SEP]	백수이고싶네요..[SEP]항상 퇴사를 꿈꿉니다ㅋㅋㅋㅋㅋ[SEP]		estj
15	803888	11	대화를 해보면 말수가 적고 묻는말에 대답만함[SEP]굉장히 방어적인태도를 취하며 본인도 그걸 알고있음 +[SEP]사람에따라 편차가 있으니 실제와는 다를수 있습니다 재미로 읽으셔용[SEP]	잠깐 혼자있는게 더 좋을때도 있으니 혹시 잇티제 인가 했는데 잇티제와 일치하는게 하나도 없네요..[SEP]특히 4는 저는 못느끼지만 반성합니다 ㅠㅠㅠ 마지막은 지금 제 상황과 비슷하군요..[SEP]	estj	estj
16	803879	11	할 말 없다 싶으면?[SEP]걍 하는 말 같고 그렇거든요......ㅋㅋ[SEP]제가 돌려서 말한다거나 빈말을 잘 못하는 편이여서 그런지(사회생활 빼고) 엣티제 빈말 잘 하는 성향인가요?[SEP]	"우선 전 여자지만 확신의 엣티제라면 빈말 정말 싫어합니다,,, 잘보이려면 어떠한 행동이나 장점 어필을 하려하지 말로 잘보이려거나 할 말 없는데 ""굳이"" 칭찬하지 않아용 마음에 들고 정말 보고싶고 생각나고 머릿속에 예쁘다[SEP]생각이 가득해서 나오는 말 아닐까ㅏ[SEP]"	entj	estj
18	803846	11	ESTJ분들 거리두고 싶거나 싫은사람 혹은 정 떨어진 사람과 연락할때 하는 행동이 있을까요?[SEP]ex)안읽씹, 12시간뒤 답장 등등[SEP]	그런 사람이랑은 연락을 그냥 안합니다ㅋㅋㅋㅋㅋ[SEP]	istp	estj
19	803842	11	estj 분들 중에서도 혼자일때가 가장 빛이나는거 같고 편안하고 행복하신가요[SEP]	가끔 여러타인들과 모인 자리에서 의견취합이 잘 안될때 그생각이 들긴해요.[SEP]그냥 저 타인들보다 내 머리에 있는 의견 그대로 하는게 더 현실적이고 더 좋은거같다......[SEP]	estj	estj
20	803814	11	물론 회사가 어떻게 돌아가고 운영되는지 관심은 없지만 그래도 회사가 주는 일은 재미있으니 기억해 둘려고 노력합니다.[SEP]ESTJ상사에게 많이 배우고 있어서 다 배울 때까지 상사가 퇴사 안했으면 좋겠습니다.[SEP]ISTJ가 바라본 ESTJ상사였습니다.[SEP]	얘를어디써먹을곳이 없나에 공감하고갑니다 ㅋㅋㅋㅋㅋㅋ[SEP]정말 딱 들어맞는 표현이군요 ㅋㅋㅋㅋ[SEP]		estj
21	803805	11	제목 그대로 ESTJ 랑 ENFJ 랑 최악 이라고 하던데 이유가 있을까요??[SEP]지금 연락하고 있는 분이 ESTJ 여성분이시고 저는 ENFJ거든요[SEP]서로 성향도 비슷하고 가치관도 비슷한데 어떤부분에서 최악이라고 하는지 잘 모르겠어서요 ESTJ분들 중에 ENFJ와 만나보신분들 중에 어떤 경험이 있으신지 공유 부탁드려요[SEP]	초반엔 서로 잘 맞춰주느라 잘 맞아요[SEP]사귀다보면 ST NF 의 간극이 느껴지실 거에요[SEP]		entp
22	803804	11	. .[SEP]이거 재미지다 ㅇ_ㅇ..[SEP]왜이걸 이제야 했지[SEP]	엠비탸이 개미지옥[SEP]		enfj
23	803789	11	막상 전해주려고 하니까 “사귄지 얼마 안됐는데 부담스러워하지 않나” 하는 생각이 들어서요 실용성 없는 선물도 별로 안 좋아한다고 들었고....[SEP]이미 쓴거 그냥 줄까요?[SEP]좀 묵혀뒀다가 줄까요.....?[SEP]	저는 좋을거같아요 실용적인것도 좋긴하지만 손편지도 받으면 기분좋습니다[SEP]	enfp	istj
